decision_similarity,exact_scenario_match,neighbor_seed_id,neighbor_split,overall_similarity,proposal_seed_id,rule_overlap,same_hazard,scenario_similarity,text_similarity
0.019,False,ss_seed_003,train,0.202,ss_expansion_b01_001,0.0,False,0.202,0.149
0.0,False,ss_seed_011,train,0.202,ss_expansion_b01_001,0.0,False,0.202,0.129
0.0,False,ss_seed_019,dev,0.202,ss_expansion_b01_001,0.0,False,0.202,0.157
0.056,False,ss_seed_187,train,0.183,ss_expansion_b01_001,0.0,False,0.183,0.138
0.018,False,ss_seed_139,dev,0.176,ss_expansion_b01_001,0.0,False,0.176,0.125
0.065,False,ss_seed_186,train,0.159,ss_expansion_b01_002,0.0,False,0.101,0.159
0.021,False,ss_seed_190,train,0.155,ss_expansion_b01_002,0.0,False,0.138,0.155
0.044,False,ss_seed_154,train,0.154,ss_expansion_b01_002,0.0,False,0.154,0.12
0.065,False,ss_seed_193,train,0.153,ss_expansion_b01_002,0.0,False,0.083,0.153
0.0,False,ss_seed_093,train,0.152,ss_expansion_b01_002,0.0,False,0.1,0.152
0.064,False,ss_seed_077,train,0.213,ss_expansion_b01_003,0.0,False,0.171,0.213
0.04,False,ss_seed_080,train,0.199,ss_expansion_b01_003,0.0,False,0.104,0.199
0.041,False,ss_seed_071,train,0.192,ss_expansion_b01_003,0.0,False,0.171,0.192
0.064,False,ss_seed_086,final_eval,0.191,ss_expansion_b01_003,0.0,False,0.12,0.191
0.041,False,ss_seed_081,dev,0.189,ss_expansion_b01_003,0.0,False,0.099,0.189
0.087,False,ss_seed_068,final_eval,0.153,ss_expansion_b01_004,0.0,False,0.132,0.153
0.02,False,ss_seed_126,train,0.153,ss_expansion_b01_004,0.0,False,0.06,0.153
0.065,False,ss_seed_071,train,0.152,ss_expansion_b01_004,0.0,False,0.096,0.152
0.065,False,ss_seed_085,final_eval,0.152,ss_expansion_b01_004,0.0,False,0.085,0.152
0.065,False,ss_seed_070,train,0.145,ss_expansion_b01_004,0.0,False,0.06,0.145
